Year,GDP (constant 2015 US$),GDP Growth YOY (%),Inflation Rate (%)
2004,1.77E+11,6.783437724,1.421271159
2005,1.87E+11,5.332139161,2.975070927
2006,1.97E+11,5.584847067,3.609235642
2007,2.10E+11,6.298785927,2.027353178
2008,2.20E+11,4.831769889,5.440782211
2009,2.17E+11,-1.513528716,0.583308406
2010,2.33E+11,7.424847383,1.622852356
2011,2.45E+11,5.293912834,3.174470922
2012,2.58E+11,5.473454193,1.663571025
2013,2.71E+11,4.693722526,2.105012312
2014,2.87E+11,6.006721946,3.142990509
2015,3.01E+11,5.091532422,2.104389802
2016,3.15E+11,4.449781398,2.090566595
2017,3.33E+11,5.81272241,3.871201158
2018,3.49E+11,4.843086976,0.884709161
2019,3.65E+11,4.413187421,0.662891866
2020,3.45E+11,-5.456846584,-1.138702154
2021,3.56E+11,3.297641008,2.477102415
2022,3.87E+11,8.650344224,3.378698625
2023,4.01E+11,3.680282186,2.488865601
